ROG,PIO,568,0.072411,220,220
ANI,JOA,576,0.16129,220,220
HCZ,JOA,576,0.16129,220,220
WRZ,JOA,576,0.16129,220,220
BEK,ROG,1284,0.353357,220,220
SKA,TAW,500,0.001748,400,400
SKA,RZE,400,0.011274,400,400
SKA,WAN,1188,0.099749,220,220
SKA,KLA,710,0.001155,220,220
WAN,LUA,610,0.011197,220,220
LUA,KLA,610,0.01,220,220
KLA,ATA,1420,0.001,220,220
KLA,PEL,327,0.04717,220,220
TAW,KRI,400,0.034953,400,400
TAW,RZE,400,0.034953,400,400
TAW,KLA,500,0.006758,400,400
KRI,RZE,400,0.034953,400,400
BGC,CHM,610,0.001301,220,220
RZE,PEL,400,0.011,400,400
KIE,PEL,400,0.002,400,400
KIE,KPK,932,0.138313,220,220
KIE,RAD,610,0.001544,220,220
KIE,ROZ,764,0.033245,220,220
KPK,RAD,510,0.010787,220,220
RAD,PEL,510,0.002,220,220
PEL,OSC,1758,0.084795,400,400
PEL,CHM,632,0.04985,220,220
CHM,STW,510,0.002619,220,220
OSC,KOZ,800,0.029155,400,400
STW,ABR,710,0.001259,220,220
ROZ,PUL,510,0.001476,220,220
ROZ,KOZ,1647,0.059731,220,220
KOZ,LSY,500,0.001703,400,400
KOZ,PUL,1003,0.092366,220,220
PUL,ABR,576,0.042445,220,220
ABR,MKR,694,0.029386,220,220
MKR,CHS,610,0.002195,220,220
MKR,ZAM,610,0.009231,220,220
ANI,WRZ,610,0.009127,220,220
BIR,KOM,1188,0.033277,220,220
PIA,KOZ,1404,0.026995,220,220
